10.255.63.100, F4:E2:C6:51:47:6B, Ubiquiti Inc
10.255.63.102, 58:20:B1:4D:30:28, Hewlett Packard
10.255.63.110, 74:83:C2:73:BA:C7, Ubiquiti Inc
10.255.63.201, 80:C1:6E:C3:6A:80, Hewlett Packard
10.255.63.28, 9C:05:D6:F0:BB:18, Ubiquiti Inc
10.255.63.65, 68:D7:9A:05:A1:46, Ubiquiti Inc
10.255.63.83, 74:AC:B9:0B:75:69, Ubiquiti Inc
10.255.63.85, E4:38:83:0F:C8:FE, Ubiquiti Inc
10.255.63.101, D8:B3:70:FA:99:B0, Ubiquiti Inc
10.255.63.116, 00:72:78:7C:C9:13, Cisco Systems, Inc
10.255.63.120, F4:E2:C6:6B:4B:88, Ubiquiti Inc
10.255.63.200, 2C:27:D7:71:39:C0, Hewlett Packard
